Région;Département;COM ARRT/VILLE;COMMUNE;QUARTIERS/VILLAGES;QUARTIER/VILLAGE/HAMEAU;CONCESSION;MENAGE;HOMMES;FEMMES;POPULATION
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;AINOUMADY;AINOUMADY;346;705;2510;2411;4921
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;AMDALLAH IV A;AMDALLAH IV A;244;418;1658;1539;3197
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;AMDALLAH V;AMDALLAH V;144;225;1042;997;2039
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;ARAFAT;ARAFAT;89;303;797;713;1510
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;CITE MILLIONNAIRE;CITE MILLIONNAIRE;82;153;532;462;994
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;CITE NELSON MANDELA;CITE NELSON MANDELA;106;220;610;558;1168
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;CITE PASTEUR;CITE PASTEUR;65;78;295;297;592
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;CITE SICA;CITE SICA;188;216;548;610;1158
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;CITE SOBOA;CITE SOBOA;152;309;956;981;1937
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;CITE TOUBA FASS MBAO;CITE TOUBA FASS MBAO;82;103;224;262;486
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;DAROU MINAM;DAROU MINAM;151;307;1165;1081;2246
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;DAROU MINAM II;DAROU MINAM II;113;235;740;670;1410
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;DAROU RAHMANE II B;DAROU RAHMANE II B;187;306;1293;1203;2496
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;DAROU RAHMANE III A;DAROU RAHMANE III A;66;101;397;361;758
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;DAROU SALAM I;DAROU SALAM I;161;297;1178;1090;2268
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;DAROU SALAM II;DAROU SALAM II;209;511;1272;1320;2592
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;DAROU SALAM SANTE YALLA;DAROU SALAM SANTE YALLA;98;242;683;685;1368
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;DIACKSAO II;DIACKSAO II;263;591;2111;2109;4220
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;DIAMAGUENE MAREGE (SAMBA DRAME);DIAMAGUENE MAREGE (SAMBA DRAME);168;316;1201;1134;2335
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;FASS MBAO I;FASS MBAO I;114;163;746;752;1498
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;FASS MBAO II;FASS MBAO II;244;393;1486;1440;2926
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;FASS MBAO III;FASS MBAO III;160;291;988;966;1954
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;FORA;FORA;637;1370;4791;4368;9159
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;LEONA DIAMAGUENE;LEONA DIAMAGUENE;73;147;502;466;968
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;MEDINA FASS MBAO;MEDINA FASS MBAO;922;1774;6912;6417;13329
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;MEDINA MARENE;MEDINA MARENE;58;95;347;361;708
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;MEDINATOUL MOUNAWARA;MEDINATOUL MOUNAWARA;518;1002;3875;3587;7462
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;MEDINATOUL RASSOUL;MEDINATOUL RASSOUL;113;217;575;587;1162
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;MISSIRAH I;MISSIRAH I;201;323;1397;1282;2679
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;NASSOUROULAYE I;NASSOUROULAYE I;60;143;531;423;954
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;NASSOUROULAYE II B;NASSOUROULAYE II B;259;400;1601;1513;3114
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;NASSOUROULAYE III A;NASSOUROULAYE III A;147;246;1069;974;2043
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SAM SAM DIAMAGUENE;SAM SAM DIAMAGUENE;278;553;1787;1713;3500
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SAM SAM I A;SAM SAM I A;512;886;3159;2998;6157
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SAM SAM I B;SAM SAM I B;112;211;818;865;1683
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SAM SAM III;SAM SAM III;109;189;735;665;1400
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SAM SAM III B TOUBA;SAM SAM III B TOUBA;115;204;841;722;1563
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SAM SAM III C TAIF;SAM SAM III C TAIF;154;258;915;868;1783
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SAM SAM III DAROU KHAFOR;SAM SAM III DAROU KHAFOR;109;153;674;704;1378
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SAM SAM III MEDINA;SAM SAM III MEDINA;105;137;574;565;1139
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SAM SAM NIMZATT;SAM SAM NIMZATT;224;328;1459;1388;2847
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SICAP DAROUL IMANE;SICAP DAROUL IMANE;215;467;1598;1512;3110
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SICAP EXTENSION;SICAP EXTENSION;324;492;1610;1450;3060
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;SICAP MBAO;SICAP MBAO;530;749;2076;1974;4050
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;TAIF I B;TAIF I B;132;265;879;879;1758
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;TAIF I SUD;TAIF I SUD;64;121;462;412;874
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;TAIF III;TAIF III;153;255;1074;965;2039
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;TOUBA  DIAMAGUENE;TOUBA  DIAMAGUENE;122;249;924;832;1756
DAKAR;PIKINE;VILLE DE PIKINE;DIAMAGUENE/SICAP M’BAO;TOUBA SAM SAM II;TOUBA SAM SAM II;349;645;2455;2315;4770
;;;;;;;;;;128518
